Cluster 1:
2465.0 -4027.0
2086.0 -4639.0
2067.0 -3207.0
2063.0 -4655.0
15.0 -3556.0
7.0 -4006.0
6.0 -3288.0
1270.32 -3163.02
1277.04 -2929.58
1275.13 -2630.99
1282.85 -2603.96
1280.99 -2835.57
1278.16 -3059.51
1261.84 -3084.8
1267.76 -2958.18
1268.45 -2854.07
1271.67 -2721.91
1273.23 -2604.78
1267.9 -2492.24
2088.0 -2627.0
2084.0 -2469.0
2076.0 -3113.0
1798.0 -2783.0
1754.0 -2905.0
1748.0 -3110.0
1691.0 -3155.0
1652.0 -2536.0
1005.0 -2529.0
990.0 -2867.0
973.0 -2476.0
903.0 -3025.0
868.0 -3130.0
863.0 -2908.0
857.0 -3015.0
835.0 -2487.0
810.0 -3008.0
757.0 -2728.0
675.0 -2964.0
179.0 -2505.0
91.0 -2960.0
81.0 -2641.0
39.0 -2966.0
1275.85 -2239.19
1269.74 -1838.05
1882.0 -1779.0
1817.0 -1797.0
1289.97 -1891.88
1283.78 -2059.2
1290.34 -2241.63
1292.98 -2420.19
1269.58 -2400.31
1265.85 -2357.09
1217.49 -2365.55
2472.0 -2312.0
2449.0 -1966.0
2440.0 -2305.0
2391.0 -2130.0
2373.0 -2066.0
2361.0 -1954.0
2351.0 -1994.0
2332.0 -2275.0
2331.0 -2195.0
2327.0 -2022.0
2305.0 -2256.0
2284.0 -1926.0
2283.0 -2349.0
2266.0 -2159.0
1269.84 -1364.25
1265.2 -1087.15
1285.42 -1241.25
1268.54 -1400.81
1272.61 -1570.41
1275.0 -1730.1
1279.9 -1611.11
2338.0 -1086.0
2311.0 -1239.0
289.0 -1157.0
260.0 -1548.0
258.0 -1113.0
248.0 -1200.0
236.0 -1387.0
193.0 -1175.0
178.0 -1401.0
111.0 -1198.0
105.0 -1641.0
10.0 -1611.0
2304.0 -1707.0
1955.0 -1642.0
607.0 -1724.0
422.0 -1722.0
303.0 -1700.0
80.0 -1760.0

Cluster 3:
1172.77 230.085
1174.8 236.317
1175.85 242.262
1176.42 248.242
1180.57 263.367
1183.78 278.797
1183.21 290.727
1182.26 296.922
1182.33 305.909
1184.2 315.129
1183.62 321.11
1180.35 330.163
1181.39 351.131
1185.07 378.324
1185.4 396.642
1181.65 424.532
1181.57 446.206
1184.65 471.112
1181.58 496.199
1180.48 530.445
1182.44 583.351
1187.42 642.374
1187.55 735.82
1192.12 834.739
1187.87 938.396
1187.64 1073.28
1182.2 1213.29
1192.45 1383.57
1188.72 1526.23
1187.73 1696.52
1190.22 1855.28
1190.09 2011.07
1197.05 1991.61
1193.58 1914.65
1191.16 1846.97
1192.96 1795.16
1191.9 1752.8
1192.37 1713.11
1194.64 1673.32
1196.64 1614.91
1195.15 1540.91
1195.97 1459.31
1189.65 1347.99
1186.22 1261.15
1189.64 1186.34
1185.06 1137.15
1185.63 1116.93
1187.95 1122.41
1195.29 1141.72
1207.94 1167.41
1220.65 1208.93
1201.84 628.704
1201.83 613.822
1202.31 597.791
1203.7 578.305
1205.82 533.389
1202.72 459.634
1212.43 1136.88
1200.5 1459.93
1222.03 1812.82
1205.09 1903.17
1206.63 1707.09
1215.26 1491.61
1214.4 1233.36
1211.32 1050.95
1209.17 1147.5
1213.35 1280.76
1208.59 1415.55
1208.8 1624.89
1209.35 1798.61
1206.84 1997.29
2483.0 1562.0
2478.0 1224.0
2471.0 1628.0
2460.0 1559.0
2397.0 1067.0
2381.0 1172.0
2376.0 1983.0
2359.0 1590.0
57.0 1614.0
44.0 1878.0
14.0 1243.0
11.0 1971.0
1222.9 520.062
1219.71 676.5
1219.71 868.191
1291.87 454.187
1212.48 883.817
1214.58 514.669
1216.66 395.782
1218.53 403.461
1220.66 407.378
1219.15 415.046
1221.35 426.744
1221.29 438.261
1223.22 449.854
1229.04 477.049
